age_of_property,coop_condo,dining_room_type,fuel_type,garage_exists,kitchen_type,maintenance_cost,num_bedrooms,num_full_bathrooms,num_half_bathrooms,num_total_rooms,parking_charges,pct_tax_deductibl,sale_price,sq_footage,total_taxes,zip_code,common_charges_numeric_dollars
66,co-op,formal,gas,0,eat in,830,3,1,0,6,20,0,347000,NA,NA,11360,0
74,co-op,NA,gas,0,efficiency,376,1,1,0,3,100,0,120000,NA,NA,11364,0
67,co-op,combo,oil,0,Combo,661,1,1,0,3,0,50,235000,NA,NA,11374,0
70,co-op,combo,oil,0,eat in,706,2,1,0,4,0,0,136000,NA,NA,11427,0
39,condo,other,gas,0,Eat In,NA,1,1,0,4,0,0,469000,750,2800,11360,500
71,co-op,NA,gas,1,efficiency,NA,2,1,0,4,100,0,115000,700,NA,11368,854
54,co-op,formal,oil,0,eat in,711,2,1,0,5,0,0,180000,NA,NA,11421,0
68,co-op,combo,gas,0,eat in,NA,2,1,0,6,0,0,430000,1500,NA,11355,0
60,co-op,NA,oil,1,efficiency,1117,2,2,0,5,0,0,525000,1300,NA,11375,0
77,co-op,combo,gas,0,efficiency,497,1,1,0,3,0,0,189000,NA,NA,11004,0
66,co-op,combo,gas,0,efficiency,650,2,1,1,4,0,0,280000,NA,NA,11372,0
38,condo,formal,gas,1,eat in,NA,3,2,0,6,0,0,540000,NA,3230,11365,397
56,co-op,NA,gas,0,efficiency,649,1,1,0,3,0,0,116000,800,NA,11368,0
71,co-op,formal,oil,0,combo,765,2,1,0,4,0,0,360000,NA,NA,11355,0
96,co-op,combo,oil,0,eat in,880,2,1,0,5,0,0,395000,NA,NA,11363,0
64,co-op,combo,NA,0,eat in,711,1,1,0,3,0,0,245000,850,NA,11355,0
95,co-op,combo,oil,0,eat in,902,1,1,0,4,0,50,174000,NA,NA,11415,0
37,condo,combo,gas,0,NA,NA,1,1,0,3,0,0,328000,NA,4613,11355,373
71,co-op,NA,oil,0,efficiency,651,1,1,0,3,0,0,158000,NA,NA,11362,0
15,condo,combo,gas,0,Combo,NA,2,2,0,4,0,0,520000,NA,744,11373,390
72,co-op,formal,oil,1,eat in,1414,3,2,1,7,0,0,500000,NA,NA,11374,0
74,co-op,combo,gas,0,efficiency,985,2,1,0,5,0,0,262000,NA,NA,11361,0
76,co-op,combo,oil,0,efficiency,567,1,1,0,3,0,40,158000,550,NA,11367,0
74,co-op,formal,oil,1,combo,591,1,1,0,3,120,40,147000,850,NA,11415,0
70,co-op,NA,oil,0,efficiency,412,0,1,0,2,0,50,147000,NA,NA,11374,0
59,co-op,combo,gas,0,efficiency,708,1,1,0,3,0,0,222000,NA,NA,11375,0
76,condo,combo,oil,0,eat in,NA,1,1,0,3,0,0,415500,743,234,11104,308
76,co-op,combo,gas,0,Combo,1312,2,1,0,5,75,0,240000,NA,NA,11432,0
72,co-op,combo,gas,0,Eat In,770,3,1,0,5,0,0,265000,NA,NA,11354,0
73,co-op,combo,oil,0,eat in,465,0,1,0,2,0,0,175000,NA,NA,11377,0
72,condo,combo,oil,0,eat in,NA,2,1,0,4,0,0,499888,801,3524,11365,391
NA,co-op,NA,gas,0,eat in,494,0,1,0,3,0,0,210000,NA,NA,11372,0
54,co-op,NA,oil,1,efficiency,1147,1,1,0,4,135,0,400000,NA,NA,11360,0
34,condo,NA,gas,0,Combo,NA,1,1,0,3,0,0,365000,610,1748,11373,192
19,condo,combo,gas,0,eat in,NA,2,2,0,3,0,0,440000,900,625,11385,457
23,condo,combo,gas,0,efficiency,NA,2,2,0,5,0,0,450000,NA,1421,11379,503
83,co-op,formal,oil,0,eat in,594,1,1,0,3,0,0,305000,NA,NA,11372,0
63,co-op,formal,gas,0,Combo,1361,2,2,0,5,0,41,500000,1150,NA,11361,0
74,co-op,formal,oil,0,efficiency,788,1,1,0,3,0,0,167500,NA,NA,11367,0
69,co-op,other,oil,1,eat in,673,1,1,0,3,120,50,260000,NA,NA,11375,0
49,co-op,NA,electric,1,efficiency,1381,1,1,1,4,87,50,490000,1010,NA,11005,0
83,co-op,combo,oil,1,eat in,1149,2,1,0,5,0,42,269000,NA,NA,11363,0
66,co-op,combo,oil,1,efficiency,740,1,1,0,3,70,50,158000,750,NA,11435,0
74,co-op,combo,gas,0,efficiency,676,1,1,0,3,0,52,155000,NA,NA,11361,0
74,co-op,combo,oil,1,efficiency,706,2,1,0,5,45,0,263000,998,NA,11370,0
74,co-op,dining area,oil,0,efficiency,780,1,1,0,3,0,0,190000,NA,NA,11357,0
NA,co-op,other,NA,0,1955,763,2,1,0,6,0,0,325000,NA,NA,11373,0
62,co-op,formal,gas,0,Combo,2047,2,2,0,5,133,0,575000,1650,NA,11357,0
63,co-op,combo,gas,0,efficiency,695,1,1,0,3,0,0,155000,NA,NA,11362,0
64,co-op,NA,oil,0,efficiency,544,1,1,0,3,14,0,130000,NA,NA,11414,0
59,co-op,combo,oil,0,eat in,708,2,1,0,4,21,0,150000,NA,NA,11414,0
73,co-op,combo,oil,0,efficiency,949,2,1,0,5,0,0,210000,NA,NA,11357,0
16,condo,NA,gas,0,NA,NA,2,2,0,4,0,0,545000,898,2148,11377,271
16,condo,combo,gas,0,Combo,NA,2,2,0,6,0,0,568000,700,663,11377,359
20,condo,formal,gas,0,eat in,NA,1,2,0,4,0,0,470000,800,1300,11355,289
75,co-op,combo,oil,0,eat in,637,2,1,0,4,0,0,225000,NA,NA,11364,0
17,condo,other,gas,0,efficiency,NA,1,1,0,4,0,0,380000,NA,1500,11379,230
72,condo,NA,NA,0,eat in,NA,2,1,0,5,0,0,428500,NA,3084,11365,390
64,condo,NA,gas,0,efficiency,NA,1,1,1,5,0,0,438000,NA,2800,11362,426
71,co-op,NA,gas,0,efficiency,661,1,1,0,3,85,50,134000,575,NA,11432,0
51,co-op,combo,electric,1,efficiency,570,0,1,0,2,185,50,159000,550,NA,11375,0
76,co-op,combo,gas,0,Combo,630,2,1,0,5,0,0,240000,800,NA,11004,0
14,condo,combo,gas,0,efficiency,NA,2,2,0,4,0,0,585000,763,163,11374,309
50,co-op,combo,gas,0,efficiency,601,0,1,0,2,0,0,125000,NA,NA,11415,0
70,co-op,NA,gas,0,eat in,996,2,1,0,4,172,0,449000,NA,NA,11375,0
59,condo,NA,gas,0,efficiency,NA,1,1,0,4,30,0,174000,NA,2982,11414,358
74,co-op,dining area,oil,0,efficiency,756,1,1,0,3,0,0,165500,NA,NA,11357,0
84,co-op,combo,gas,0,combo,905,2,1,0,4,0,0,225000,NA,NA,11367,0
49,co-op,formal,oil,0,eat in,2250,2,2,1,5,88,50,730000,1500,NA,11005,0
69,co-op,formal,gas,0,combo,644,2,1,0,4,0,50,155000,NA,NA,11427,0
42,condo,combo,gas,0,eat in,NA,2,3,0,7,0,0,790000,1419,5807,11360,0
NA,co-op,combo,gas,0,efficiency,626,1,1,0,3,0,0,228000,750,NA,11375,0
64,co-op,combo,gas,0,eat in,480,0,1,0,2,0,0,151500,NA,NA,11354,0
36,condo,combo,gas,0,combo,NA,2,1,1,5,0,0,555000,NA,6224,11354,626
59,co-op,formal,gas,1,efficiency,1154,2,1,0,5,0,50,518000,1100,NA,11375,0
42,condo,combo,gas,1,efficiency,NA,1,2,0,4,0,0,200000,NA,1948,11417,275
74,co-op,combo,oil,0,eat in,810,2,1,0,4,0,0,248500,NA,NA,11362,0
60,co-op,combo,gas,0,combo,667,1,1,0,3,0,0,265000,NA,NA,11375,0
74,co-op,other,gas,0,combo,NA,2,1,0,4,0,0,295000,1000,NA,11372,715
29,condo,combo,gas,0,efficiency,344,2,2,0,5,0,0,588000,1137,2780,11362,0
10,condo,combo,gas,0,eat in,340,2,2,0,5,0,0,600000,870,9300,11355,340
16,condo,combo,electric,0,efficiency,NA,1,1,0,4,0,0,455000,NA,111,11354,212
82,co-op,formal,oil,0,eat in,1059,2,1,0,5,0,0,479000,NA,NA,11375,0
71,co-op,combo,oil,1,eat in,877,2,1,0,4,0,0,106000,NA,NA,11368,0
69,co-op,formal,oil,1,eat in,701,1,1,0,3,35,0,185000,NA,NA,11354,0
16,condo,NA,gas,0,Combo,NA,2,1,0,4,0,0,555000,900,1152,11357,480
17,condo,combo,NA,0,eat in,NA,2,2,0,6,0,0,612500,NA,13,11354,289
67,co-op,combo,oil,0,eat in,869,1,1,0,3,0,0,248000,850,NA,11355,0
74,co-op,combo,gas,0,efficiency,849,2,1,0,5,0,0,270000,NA,NA,11362,0
18,condo,NA,gas,0,efficiency,NA,1,1,0,3,0,0,295500,450,11,11355,148
56,condo,formal,gas,0,eat in,NA,2,2,0,5,80,0,639000,1100,3409,11354,533
17,condo,combo,NA,0,Combo,NA,1,1,0,3,0,0,875000,752,89,11101,978
74,co-op,combo,oil,0,efficiency,382,0,1,0,2,0,0,185000,550,NA,11373,0
56,co-op,formal,gas,1,Eat in,2004,3,2,0,6,0,35,767000,1500,NA,11375,0
59,co-op,formal,gas,0,efficiency,981,1,1,0,4,0,50,310000,NA,NA,11375,0
59,co-op,formal,gas,0,eat in,2100,3,2,1,8,0,40,435000,NA,NA,11360,0
66,co-op,combo,gas,0,eat in,1000,1,1,0,3,0,0,252500,NA,NA,11357,0
74,co-op,combo,gas,1,Combo,503,1,1,0,3,125,0,142000,750,NA,11435,0
60,co-op,combo,gas,0,eat in,848,2,1,0,4,120,0,338888,NA,NA,11375,0
72,co-op,formal,oil,1,eat in,817,1,1,0,3,125,45,220000,750,NA,11375,0
66,co-op,other,gas,0,efficiency,709,2,1,0,4,500,0,410000,875,NA,11106,0
39,condo,combo,gas,1,eat in,NA,3,2,1,7,0,0,580000,1633,3329,11356,590
15,condo,combo,gas,0,eat in,NA,2,2,0,4,0,0,480000,741,686,11373,315
71,co-op,combo,gas,1,efficiency,1037,2,2,0,6,0,0,321500,1100,NA,11364,0
53,condo,combo,gas,1,NA,NA,3,2,1,6,0,0,687000,NA,4200,11362,324
75,condo,NA,oil,0,efficiency,NA,2,1,0,4,0,0,445000,821,2475,11370,496
97,condo,combo,oil,0,eat in,NA,1,1,0,3,0,0,445000,712,231,11377,353
98,condo,NA,oil,0,eat in,NA,3,2,0,6,0,0,830000,2000,5359,11355,821
103,co-op,formal,oil,0,efficiency,689,2,1,0,5,0,0,575000,NA,NA,11372,0
63,co-op,combo,gas,0,efficiency,642,1,1,0,4,95,0,168000,NA,NA,11362,0
74,co-op,NA,oil,0,efficiency,786,1,1,0,3,0,0,155000,NA,NA,11357,0
74,co-op,NA,gas,0,eat in,585,1,1,0,3,0,0,199900,NA,NA,11004,0
59,co-op,combo,gas,1,efficiency,1108,2,1,0,4,115,0,435000,1000,NA,11375,0
96,co-op,NA,NA,0,eat in,872,2,1,0,4,0,0,432000,900,NA,11372,0
84,co-op,combo,oil,0,efficiency,854,3,1,0,5,0,50,268000,975,NA,11367,0
8,condo,combo,gas,0,Combo,NA,2,1,1,4,0,0,471800,787,13,11415,293
65,co-op,formal,gas,0,efficiency,713,2,1,0,5,0,0,155000,NA,NA,11414,0
74,co-op,NA,oil,0,efficiency,852,1,1,0,3,0,0,113000,NA,NA,11435,0
63,co-op,formal,oil,0,efficiency,707,1,1,0,3,0,0,200000,750,NA,11363,0
14,condo,combo,gas,0,combo,NA,2,2,0,4,200,0,580000,889,227,11355,312
59,co-op,combo,gas,0,efficiency,520,1,1,0,2,0,0,89000,NA,NA,11414,0
73,co-op,combo,oil,0,efficiency,714,1,1,0,3,0,0,178000,NA,NA,11354,0
74,co-op,NA,gas,0,efficiency,721,1,1,0,4,0,0,151000,NA,NA,11358,0
9,condo,combo,gas,0,eat in,NA,3,2,0,7,0,0,905000,1400,360,11105,220
37,condo,other,gas,0,efficiency,NA,2,2,0,5,0,0,625000,1000,3936,11355,635
27,condo,combo,gas,0,eat in,NA,1,1,0,3,0,0,403800,NA,254,11354,195
95,condo,combo,oil,0,efficiency,NA,1,1,0,3,0,0,410000,858,2726,11372,395
61,co-op,NA,gas,0,efficiency,740,1,1,0,3,0,0,152500,NA,NA,11414,0
63,co-op,NA,gas,0,efficiency,571,0,1,0,3,95,0,134000,NA,NA,11362,0
74,co-op,combo,gas,0,combo,830,2,1,0,4,0,0,226000,NA,NA,11364,0
69,co-op,other,oil,0,eat in,477,2,1,1,6,90,0,290000,950,NA,11372,0
88,co-op,formal,gas,0,Eat In,1154,2,2,0,6,0,0,415000,1300,NA,11415,0
73,co-op,formal,oil,1,efficiency,658,1,1,0,4,100,0,200000,NA,NA,11367,0
82,condo,formal,gas,0,Combo,NA,1,1,0,4,0,0,520000,970,2700,11372,368
64,co-op,combo,oil,0,efficiency,663,1,1,0,3,0,0,95000,NA,NA,11414,0
64,co-op,formal,oil,0,eat in,520,1,1,0,4,0,0,150000,NA,NA,11421,0
69,co-op,combo,oil,0,Combo,796,1,1,0,4,0,0,175000,780,NA,11415,0
59,co-op,formal,oil,1,efficiency,1131,1,1,0,4,115,50,430000,NA,NA,11375,0
63,co-op,combo,gas,0,efficiency,676,1,1,0,3,95,0,163000,NA,NA,11362,0
84,co-op,other,Other,0,Combo,821,1,1,0,3,0,50,430000,918,NA,11372,0
74,co-op,combo,gas,0,efficiency,616,1,1,0,3,0,0,210000,NA,NA,11004,0
61,co-op,other,oil,0,eat in,820,2,1,0,4,0,50,250000,850,NA,11361,0
61,co-op,combo,oil,0,efficiency,401,0,1,0,3,0,0,162500,NA,NA,11374,0
69,co-op,other,oil,1,efficiency,995,2,1,0,4,0,50,410000,1000,NA,11375,0
71,co-op,formal,oil,0,eat in,996,2,1,0,5,0,35,280000,NA,NA,11362,0
89,co-op,formal,oil,0,eat in,795,1,1,0,4,0,0,180000,800,NA,11432,0
8,condo,combo,gas,0,eat in,NA,1,1,0,3,0,0,293000,477,106,11355,153
8,condo,combo,gas,0,eat in,NA,1,1,0,3,0,0,250000,541,120,11355,173
18,condo,combo,gas,0,eat in,NA,2,2,0,4,0,0,438000,NA,248,11373,250
84,co-op,other,other,0,combo,1088,2,1,0,4,0,50,572500,980,NA,11372,0
61,condo,combo,gas,0,Combo,NA,0,1,0,2,0,0,288888,NA,2617,11367,285
37,condo,combo,other,1,efficiency,NA,2,1,1,5,0,0,380000,906,4920,11374,687
35,condo,formal,gas,0,Eat In,NA,3,2,0,6,0,0,600000,NA,4549,11356,0
74,co-op,combo,gas,0,eat in,676,1,1,0,3,0,0,159000,NA,NA,11426,0
64,co-op,formal,gas,0,efficiency,713,2,1,0,5,0,0,132000,NA,NA,11414,0
64,co-op,combo,oil,0,eat in,901,1,1,0,3,0,57,203000,800,NA,11363,0
74,co-op,formal,gas,1,Eat In,678,1,1,0,3,150,50,290000,NA,NA,11375,0
19,condo,combo,gas,0,efficiency,NA,2,2,0,4,0,0,512000,943,NA,11385,531
71,co-op,combo,oil,0,efficiency,748,1,1,0,4,0,0,79000,650,NA,11368,0
77,co-op,formal,gas,0,efficiency,1366,2,1,0,5,75,0,223000,NA,NA,11415,0
68,co-op,combo,gas,1,eat in,595,1,1,0,3,145,20,205000,NA,NA,11375,0
64,co-op,combo,oil,0,eat in,679,0,1,0,3,0,0,175000,500,NA,11375,0
62,co-op,NA,gas,0,eat in,949,1,1,0,4,62,40,300000,750,NA,11361,0
40,condo,combo,none,1,efficiency,NA,1,1,0,4,0,0,510000,NA,3305,11360,462
74,co-op,NA,oil,0,eat in,713,1,1,0,3,0,0,219000,NA,NA,11375,0
82,condo,combo,gas,0,efficiency,NA,2,1,0,4,0,0,530000,922,3866,11372,345
66,co-op,formal,gas,0,efficiency,733,2,1,0,5,20,0,308000,NA,NA,11360,0
74,co-op,combo,oil,0,eat in,646,2,1,0,4,0,0,230000,NA,NA,11364,0
63,co-op,combo,gas,0,efficiency,666,1,1,0,4,0,0,148000,NA,NA,11362,0
59,co-op,NA,gas,1,combo,1448,2,2,0,4,140,0,625000,NA,NA,11375,0
59,co-op,NA,gas,1,Combo,1448,2,2,0,4,140,0,625000,NA,NA,11375,0
69,co-op,other,oil,1,eat in,777,2,1,0,4,0,50,369000,NA,NA,11375,0
60,co-op,combo,gas,0,Combo,885,1,1,0,3,0,0,275000,NA,NA,11375,0
74,co-op,formal,gas,0,eat in,783,2,1,0,4,0,0,324000,NA,NA,11372,0
63,co-op,combo,gas,1,efficiency,880,1,1,0,4,0,0,103000,NA,NA,11432,0
50,co-op,formal,oil,0,efficiency,1141,2,1,0,5,115,50,388000,950,NA,11415,0
86,co-op,other,NA,1,efficiency,710,1,1,0,3,0,0,245000,NA,NA,11375,0
76,co-op,other,NA,0,combo,520,1,1,0,2,0,0,175000,NA,NA,11375,0
76,co-op,NA,NA,0,Combo,520,0,1,0,2,0,0,175000,NA,NA,11375,0
13,condo,combo,gas,0,efficiency,NA,1,1,0,3,0,0,720000,NA,150,11354,560
64,co-op,combo,gas,0,eat in,NA,2,1,0,5,55,0,265000,NA,NA,11364,829
69,co-op,NA,gas,0,eat in,801,3,1,0,5,0,65,215000,NA,NA,11427,0
63,condo,combo,gas,0,Combo,1251,1,1,0,5,0,0,420000,NA,1521,11355,312
61,co-op,NA,gas,1,Combo,1093,1,1,0,4,0,0,179000,NA,NA,11415,0
16,condo,combo,gas,1,Combo,NA,2,2,0,4,0,0,740000,831,241,11102,240
86,co-op,NA,gas,0,efficiency,679,1,1,0,3,139,20,190000,NA,NA,11377,0
62,co-op,combo,gas,0,eat in,NA,0,1,0,3,0,0,180000,630,NA,11361,0
69,co-op,formal,gas,0,efficiency,957,3,1,0,6,0,0,310000,NA,NA,11362,0
60,co-op,other,oil,0,efficiency,865,2,1,0,5,0,50,390000,NA,5700,11363,0
70,co-op,formal,gas,1,combo,678,1,1,0,6,85,45,135000,NA,NA,11432,0
NA,co-op,combo,gas,0,eat in,540,1,1,0,3,0,0,240000,NA,NA,11358,0
74,co-op,formal,gas,1,eat in,NA,2,1,0,5,86,0,300000,NA,307,11364,429
42,condo,formal,gas,0,Combo,650,1,1,1,4,99,0,617000,950,4000,11360,0
66,co-op,formal,NA,1,efficiency,685,2,1,0,4,0,38,255000,950,NA,11369,0
NA,co-op,NA,gas,0,eat in,746,2,1,0,4,0,0,258000,NA,NA,11364,0
74,co-op,NA,oil,0,eat in,879,2,1,0,4,0,0,254000,NA,NA,11357,0
60,co-op,combo,oil,0,efficiency,986,2,1,0,4,0,57,250000,NA,NA,11362,0
64,co-op,formal,NA,0,eat in,1008,2,1,0,5,20,0,315000,1200,NA,11360,0
49,co-op,formal,gas,1,eat in,4659,3,3,1,6,145,50,999999,2489,NA,11005,0
38,condo,combo,gas,1,eat in,NA,3,2,1,7,0,0,576000,1633,3000,11356,590
42,condo,formal,gas,0,eat in,NA,2,2,0,5,0,0,725000,NA,4012,11360,727
64,co-op,NA,gas,0,eat in,1325,2,2,0,5,26,0,305000,1200,NA,11360,0
35,condo,NA,electric,1,efficiency,NA,2,2,0,6,0,0,650000,886,2580,11102,534
74,co-op,NA,gas,0,eat in,673,1,1,0,3,0,0,157000,NA,NA,11362,0
8,condo,combo,gas,0,efficiency,NA,1,1,0,2,0,0,701888,765,4474,11354,0
82,condo,NA,gas,0,eat in,NA,1,1,0,3,0,0,425000,679,1783,11370,470
47,condo,NA,gas,0,efficiency,NA,0,1,0,2,80,0,129700,NA,1216,11414,191
12,condo,NA,gas,0,combo,NA,2,2,0,5,0,0,650000,990,100,11361,300
74,co-op,combo,gas,0,efficiency,713,1,1,0,4,0,0,195500,NA,NA,11364,0
8,condo,NA,gas,0,Combo,NA,1,1,0,4,0,0,775000,NA,28,11102,438
66,co-op,formal,gas,0,eat in,1700,3,2,0,6,100,0,700000,2200,NA,11357,0
74,co-op,combo,gas,0,efficiency,448,1,1,0,3,0,0,130000,NA,NA,11421,0
72,co-op,formal,gas,0,eat in,989,2,1,0,5,0,0,293800,NA,NA,11362,0
36,condo,combo,gas,1,combo,NA,1,1,0,3,50,0,485000,NA,2224,11374,490
35,condo,NA,electric,0,efficiency,NA,0,1,0,2,0,0,385000,NA,1042,11102,327
55,co-op,combo,gas,1,efficiency,736,1,1,0,3,135,0,245000,700,NA,11360,0
17,condo,NA,other,0,Combo,NA,1,1,0,3,0,25,480000,2338,25,11101,218
102,co-op,formal,gas,0,efficiency,885,3,2,0,6,0,25,692000,1300,NA,11372,0
102,co-op,formal,gas,0,efficiency,885,3,2,0,6,0,25,692000,1300,NA,11372,0
21,condo,formal,gas,0,efficiency,NA,2,2,0,5,30,0,465000,NA,945,11417,426
69,co-op,NA,gas,0,efficiency,418,1,1,0,2,0,0,159500,NA,NA,11375,0
64,co-op,combo,oil,0,efficiency,639,1,1,0,4,0,0,164900,730,NA,11367,0
32,condo,formal,gas,1,eat in,NA,1,1,0,4,100,0,375000,735,2800,11368,345
66,co-op,combo,NA,0,efficiency,NA,1,1,0,3,0,0,180000,NA,NA,11372,0
74,co-op,NA,gas,0,efficiency,687,1,1,0,3,0,0,186000,NA,NA,11362,0
69,co-op,combo,gas,0,eat in,775,1,1,0,3,0,0,169000,NA,NA,11354,0
61,condo,formal,oil,0,efficiency,NA,1,1,0,3,0,0,280000,544,2178,11367,248
73,co-op,formal,oil,0,eat in,796,2,1,0,5,0,0,350000,850,NA,11372,0
64,co-op,NA,gas,0,eat in,1607,3,2,0,6,26,0,360000,1500,NA,11360,0
68,co-op,combo,oil,0,eat in,627,1,1,0,3,0,0,230000,NA,NA,11367,0
69,co-op,combo,gas,1,efficiency,850,2,1,0,4,72,50,350000,900,NA,11375,0
73,co-op,combo,gas,0,efficiency,815,2,1,0,3,0,0,235000,NA,NA,11354,0
104,co-op,NA,gas,0,combo,800,2,1,0,4,0,0,275000,1000,NA,11415,0
71,co-op,combo,oil,0,efficiency,776,1,1,0,3,0,35,193000,NA,NA,11362,0
71,co-op,combo,oil,1,eat in,599,1,1,0,3,40,0,92000,750,NA,11423,0
66,co-op,other,NA,1,efficiency,755,1,1,0,4,106,0,131000,700,NA,11432,0
69,co-op,formal,oil,1,efficiency,1137,2,2,0,6,120,0,408000,1200,NA,11374,0
54,co-op,NA,oil,1,efficiency,1027,1,1,0,4,135,0,425000,NA,NA,11360,70
60,co-op,combo,gas,1,efficiency,1370,2,1,0,4,0,0,360000,NA,NA,11375,0
63,co-op,combo,gas,0,efficiency,560,1,1,0,2,95,0,132500,NA,NA,11362,0
74,co-op,NA,gas,0,eat in,725,2,1,0,4,125,0,216000,NA,NA,11435,0
77,co-op,formal,gas,0,Combo,680,1,1,0,5,0,0,232500,1000,NA,11374,0
14,condo,combo,gas,0,Eat In,NA,2,2,0,5,0,0,428000,820,285,11368,158
18,condo,combo,electric,0,Combo,NA,2,2,0,4,0,0,635000,NA,70,11355,0
66,co-op,other,other,0,eat in,659,2,1,1,4,0,0,310000,NA,NA,11372,0
41,condo,combo,gas,1,eatin,NA,2,2,0,6,77,0,NA,1250,3972,11360,906
94,co-op,NA,oil,0,combo,862,1,1,0,2,0,0,NA,450,NA,11375,0
112,co-op,NA,electric,0,efficiency kitchene,738,NA,1,0,2,0,43,NA,NA,NA,11375,0
71,co-op,combo,gas,0,combo,1435,3,1,0,5,60,39,NA,NA,NA,11357,0
83,condo,formal,gas,0,efficiency kitchen,NA,4,1,0,7,0,0,NA,1524,5776,11375,0
67,condo,NA,oil,0,combo,NA,1,1,0,3,0,0,NA,NA,2256,11375,268
71,co-op,combo,gas,0,combo,1415,3,1,0,5,60,0,NA,NA,NA,11357,0
20,condo,other,gas,0,eatin,NA,1,1,0,3,0,0,NA,550,357,11368,185
69,co-op,combo,gas,0,eatin,804,1,1,0,3,0,0,NA,NA,NA,11375,0
64,co-op,NA,gas,0,combo,1750,3,3,0,6,145,50,NA,1650,NA,11375,0
59,co-op,NA,gas,1,combo,1141,2,1,0,4,0,0,NA,NA,NA,11375,0
64,co-op,formal,gas,0,eatin,1000,2,1,0,6,0,0,NA,1300,NA,11375,0
71,co-op,combo,gas,0,combo,976,1,1,0,3,60,0,NA,850,NA,11357,0
71,co-op,formal,oil,1,eatin,1311,3,2,0,6,140,0,NA,1350,NA,11375,0
69,co-op,formal,gas,0,eatin,1477,3,2,0,6,0,0,NA,1350,NA,11375,0
71,co-op,combo,oil,0,eatin,1072,2,1,0,5,0,0,NA,NA,NA,11375,0
69,co-op,formal,oil,0,eatin,1477,3,2,0,6,0,0,NA,NA,NA,11375,0
74,co-op,combo,oil,0,efficiency kitchen,683,1,1,0,0,0,50,NA,850,NA,11375,0
NA,co-op,other,gas,0,eatin,909,1,1,0,3,0,0,NA,NA,NA,11357,0
18,condo,other,gas,0,eatin,214,2,1,0,5,0,0,NA,NA,480,11368,0
15,condo,combo,gas,1,efficiency kitchen,NA,3,2,0,6,0,0,NA,847,500,11368,199
15,condo,combo,gas,0,combo,NA,1,1,1,4,0,0,NA,592,631,11368,170
14,condo,formal,gas,0,efficiency,NA,2,2,0,6,0,0,NA,860,300,11368,170
24,condo,NA,gas,0,eatin,NA,1,1,0,3,0,0,NA,620,1200,11368,239
72,co-op,combo,oil,0,eatin,494,1,1,0,1,0,50,NA,500,NA,11375,0
74,co-op,combo,NA,0,efficiency kitchen,1524,4,2,0,8,0,0,NA,NA,NA,11375,0
85,co-op,NA,oil,1,eatin,909,1,1,0,3,165,50,NA,100,NA,11375,0
28,co-op,other,oil,0,eatin,606,1,1,0,3,0,0,NA,NA,NA,11369,0
74,co-op,other,oil,0,efficiency kitchen,700,1,1,0,3,0,0,NA,NA,NA,11369,0
13,condo,formal,gas,0,eatin,NA,3,2,0,7,0,0,NA,NA,250,11368,100
85,co-op,none,oil,0,eatin,854,1,1,0,3,0,0,NA,850,NA,11375,0
97,condo,combo,gas,0,eatin,NA,1,1,0,4,0,0,NA,NA,1471,11420,274
66,co-op,combo,oil,0,efficiency,962,1,1,0,3,60,0,NA,NA,NA,11357,0
59,co-op,formal,oil,1,eatin,1833,2,2,0,5,185,0,NA,1300,NA,11375,0
59,co-op,NA,oil,1,eatin,1493,2,2,0,5,185,32,NA,NA,NA,11375,0
60,co-op,formal,oil,1,eatin,1001,1,1,0,4,185,0,NA,NA,NA,11375,0
59,co-op,formal,oil,1,efficiency kitchen,1240,2,1,0,4,185,0,NA,NA,NA,11375,0
59,co-op,formal,gas,0,eatin,1547,2,2,0,5,185,0,NA,NA,NA,11375,0
59,co-op,NA,oil,1,eatin,1949,2,2,0,5,185,32,NA,NA,NA,11375,0
59,co-op,formal,gas,0,combo,1832,2,2,0,5,0,0,NA,1300,NA,11375,0
59,co-op,formal,oil,1,eatin,1240,2,1,0,4,185,0,NA,NA,NA,11375,0
68,co-op,formal,oil,0,eatin,625,1,1,0,3,150,45,NA,750,NA,11375,0
65,co-op,combo,oil,0,combo,620,1,1,0,3,0,0,NA,NA,NA,11375,0
69,co-op,formal,oil,0,combo,629,1,1,0,3,150,0,NA,NA,NA,11375,0
92,co-op,combo,gas,0,eatin,737,1,1,0,4,0,40,NA,NA,NA,11375,0
82,co-op,other,oil,0,combo,700,1,1,0,3,0,50,NA,NA,NA,11375,0
73,condo,combo,gas,0,combo,NA,5,2,0,5,0,0,NA,980,4057,11375,280
72,co-op,combo,oil,1,efficiency kitchen,651,1,1,0,3,0,0,NA,750,NA,11375,0
73,co-op,combo,oil,1,eatin,2128,3,2,0,6,0,0,NA,NA,NA,11375,0
84,co-op,combo,gas,0,eatin,570,NA,1,0,2,0,0,NA,NA,NA,11375,0
73,condo,formal,gas,0,eatin,NA,3,2,1,9,0,0,NA,NA,4500,11375,320
87,co-op,combo,gas,0,efficiency kitchen,781,1,1,0,4,0,0,NA,850,NA,11375,0
59,co-op,combo,gas,0,combo,656,1,1,0,3,0,0,NA,NA,NA,11375,0
17,co-op,formal,gas,0,eatin,NA,2,1,0,5,0,0,NA,1100,NA,11375,0
75,co-op,combo,gas,0,efficiency kitchen,NA,1,1,0,4,0,0,NA,NA,554,11375,0
