age_of_property,coop_condo,dining_room_type,fuel_type,garage_exists,kitchen_type,maintenance_cost,num_bedrooms,num_full_bathrooms,num_half_bathrooms,num_total_rooms,parking_charges,pct_tax_deductibl,sale_price,sq_footage,total_taxes,zip_code,common_charges_numeric_dollars
74,co-op,NA,gas,0,eat in,722,1,1,0,3,0,0,237000,NA,NA,11104,0
54,co-op,NA,gas,0,efficiency,2172,3,2,1,7,80,40,400000,1800,NA,11360,0
88,co-op,other,gas,0,Eat In,869,1,1,0,3,0,49,235000,1000,NA,11415,0
9,condo,NA,gas,0,eat in,NA,0,1,0,3,0,0,596000,532,51,11101,461
69,co-op,combo,gas,0,efficiency,581,1,1,0,3,21,0,155000,NA,NA,11414,0
74,co-op,NA,oil,0,efficiency,656,1,1,0,4,0,0,145000,586,NA,11361,0
74,co-op,combo,gas,0,eat in,573,1,1,0,4,0,0,113000,NA,1127,11422,0
69,co-op,combo,gas,0,Combo,641,2,1,0,4,0,50,162000,NA,NA,11427,0
60,co-op,formal,gas,0,efficiency,732,2,1,0,5,0,0,145000,NA,NA,11414,0
63,co-op,combo,gas,0,efficiency,642,1,1,0,3,115,0,160000,NA,NA,11362,0
88,co-op,NA,oil,0,eat in,452,0,1,0,2,0,0,175000,NA,NA,11377,0
73,co-op,combo,oil,0,efficiency,638,1,1,0,3,0,0,180000,NA,NA,11367,0
74,co-op,formal,oil,0,efficiency,746,1,1,0,3,0,0,164000,NA,NA,11367,0
66,co-op,NA,gas,0,eat in,760,1,1,0,3,80,0,110000,NA,NA,11432,0
17,condo,combo,gas,1,eat in,NA,2,2,0,4,0,0,476000,863,699,11385,333
59,co-op,other,gas,0,efficiency,745,1,1,0,3,0,0,100000,NA,NA,11414,0
74,co-op,formal,oil,0,efficiency,913,2,2,0,4,0,0,217500,NA,NA,11357,0
33,condo,combo,gas,0,efficiency,NA,1,1,0,3,0,0,235000,NA,1830,11368,293
54,co-op,combo,gas,0,efficiency,1342,2,2,0,5,135,0,492500,NA,NA,11360,0
15,condo,combo,gas,0,Eat In,NA,2,2,0,6,0,0,550000,1029,93,11355,317
74,co-op,formal,oil,0,eat in,720,2,1,0,4,0,40,120000,NA,NA,11423,0
55,co-op,other,gas,0,eat in,NA,1,1,0,3,0,0,210000,750,NA,11354,595
72,co-op,combo,oil,1,eat in,815,1,1,0,3,100,0,197500,NA,NA,11375,0
65,co-op,formal,oil,0,eat in,596,1,1,0,3,0,0,220000,NA,NA,11373,0
60,co-op,combo,gas,0,combo,NA,1,1,0,3,0,0,283500,NA,NA,11375,0
61,co-op,combo,oil,1,efficiency,458,1,1,0,2,245,0,173000,NA,NA,11377,0
70,co-op,other,oil,0,eat in,597,2,1,0,4,0,0,169000,850,NA,11421,0
84,co-op,combo,oil,0,efficiency,322,1,1,0,3,0,0,143000,NA,NA,11415,0
73,co-op,combo,oil,0,eat in,849,2,1,0,4,0,0,170000,NA,NA,11369,0
59,co-op,other,gas,0,efficiency,753,1,1,0,3,0,0,82000,NA,NA,11414,0
51,condo,combo,electric,1,efficiency,NA,2,1,0,4,0,0,383000,778,2433,11367,498
74,co-op,combo,gas,0,efficiency,575,1,1,0,4,0,50,165000,NA,NA,11364,0
74,co-op,other,NA,0,eat in,499,1,1,0,3,0,0,185000,NA,NA,11435,0
89,co-op,combo,oil,0,eat in,804,1,1,0,3,0,0,409000,NA,NA,11372,0
74,co-op,NA,oil,0,eat in,475,0,1,0,2,110,50,145000,500,NA,11375,0
44,condo,formal,gas,0,eat in,NA,3,2,0,6,0,0,590000,NA,2961,11364,287
